Conutry_Adress,Descripiton,Founded_Year,Horly_Rate,Number_of_Employees,Phone_Number,Project_Size,Street_Adress,company_name,company_website
Spain,"Arus Defence brings disruptive technological thinking and industrial operational best practices to solve mission-critical problems, leveraging our extensive experience designing, building and deploying complete programs. Arus Defence is solving and delivering industry-leading AI products, more agile and more efficient than ever before.",Founded 2017,$150 - $199 / hr,10 - 49,+34661310158,"$50,000+",Paseo de la Castellana 77,Arus Defence,http://www.arusdefence.com
Vietnam,"Initially established as a laboratory in 2015, Tinasoft quickly defines its stand as one of the leading Software Development and Digital Transformation Consultant in Vietnam. Our experience, expertise, best-equipped facility, professional management, and commitment have been bringing our customers utmost satisfaction and in return rewarded us with rapid and sustainable growths over the past 10 years.",Founded 2015,< $25 / hr,50 - 249,+(84) 0246 329 5589,"$5,000+","Elipse Tower, 110 Tran Phu, Ha Dong",Tinasoft Vietnam,https://tinasoft.vn/
China,"ComRatings is a trusted marketing intelligence provider driven by AI technology for audience-centric competitive benchmarking and marketing optimization to enable smart marketing. Leveraging the leading technology of big data collection and AI analytics, since 2010, the company has been committed to help the leading brand marketers, advertising agencies, and research agencies obtain in-depth consumer insights and benchmark brand performance through the continuous data collection, data fusion, data analytics and data management services.",Founded 2016,Undisclosed,10 - 49,86-25-8651-3310,Undisclosed,"3rd Floor, Tower B, Ji Mei Si Building, No.30 Yujinxiang Street",The ComRatings Group,https://www.comratings.com/
United States,"eInnoSys is a pure play automation company for semiconductors and other related industries such as PV (solar), MEMS, Flat Panel Display (FPD), LED, and other such electronics industries. We serve Equipment Manufacturers (OEMs) and factories – Fabs, ATMs (Assembly Test Manufacturing). eInnoSys is a customer-centric and solution-oriented company, offering automation products as well as custom automation solutions for OEMs and factories.",Founded 2013,< $25 / hr,10 - 49,+18053340710,"$1,000+",5899 Remer Terrace,eInnoSys,https://www.einnosys.com/
United States,"At Infer, we constantly focus on ""value""​, through our proven methodologies such as Infer's Value Delivery Model(VDM), whose purpose is to assure efficient delivery of value.",Founded 2002,Undisclosed,10 - 49,+1.609.987.1200,Undisclosed,12 Roszel Rd B204,"Infer Solutions, Inc",https://www.infersol.com/
United States,"InterScale is a lean and agile technology consulting company with strong profile in Blockchain development, ICO, Distributed Apps development, Automation, Cloud computing, AI and Data mining, IoT services and advisory, IOTA. The company is specialized in software development at all levels - programming, documenting, testing, bug fixing, as well as research, new development, prototyping and any other software activities.",Founded 0,Undisclosed,10 - 49,+1.202.800.5540,Undisclosed,1380 Monroe St NW Ste 269,InterScale,https://interscale.io
Germany,"Founded in 2018, providing IT and digital product consulting, software engineering, auditing, and workshops.",Founded 2018,Undisclosed,2 - 9,0049 351 41 88 22 21,Undisclosed,Freiberger Str. 4,Schlachter Informatik GmbH,https://www.schlachter.tech
Slovenia,"Valira AI is a data science and AI agency that leverages the latest technology to deliver meaningful insights and drive business outcomes for clients. Their team of experienced data scientists and AI specialists work closely with clients to understand their needs and provide customized solutions that drive growth and innovation. From predictive analytics to deep learning models, Valira AI has the expertise to turn data into actionable results.",Founded 2022,$50 - $99 / hr,2 - 9,+386 30 761 283,"$10,000+",1 Beblerjev trg,Valira AI,https://valira.ai/
United Kingdom,"Planning, development, analysis and deployment of IT solutions for start-ups and enterprises.",Founded 2023,< $25 / hr,2 - 9,07932075897,Undisclosed,4 Raven Road,HOCLE LIMITED,https://hocle.co.uk/
United States,"Estenda is advancing #DTx Software Development Through Unique Designs & Consulting. #ISO13485 #DigitalTherapeutics #DigitalHealth Custom software development, data analytics, and consulting company with global project experience working with academia, commercial, and government organizations.",Founded 2003,Undisclosed,10 - 49,4843621200,"$100,000+",983 Old Eagle School Rd  Suite 617,Estenda Solutions,https://estenda.com/
Canada,"We put ""data-driven"", ""smart"", and ""engaging"" as the top 3-tenants for digital solutions.",Founded 2013,$25 - $49 / hr,10 - 49,+923452166805,"$5,000+","392 Hobbs Cres. Milton, ON, L9T 0J2, Canada",Optimizia,http://Optimizia.co
,,,,,,,,Tangibly OU,https://tangibly.tech/
Poland,"At SigDelta we find value in data and help your organization make informed decisions. We work with research institutions to connect data experts with business. We specialize in ambitious projects requiring knowledge and skills in the area of Artificial Intelligence, Natural Language Processing and Big Data.",Founded 2016,$50 - $99 / hr,10 - 49,+48 22 203 56 00,"$5,000+",Nowogrodzka 62C,SigDelta,https://sigdelta.com/
United Kingdom,Adtech,Founded 2010,$50 - $99 / hr,2 - 9,+44 (0)20 3355 2595,"$50,000+",65 Leonard Street,Black Square Media,https://blacksquaremedia.com
India,"FREE Marketplace | To Outsource your Software Development to Offshore Companies in India, Philippines, Malaysia & Indonesia. No Paid plans, No Subscriptions, Free Registration, Zero charges.",Founded 2018,Undisclosed,2 - 9,7021007692,"$1,000+",914 Sector Road,Future Tech Lancer,https://futuretechlancer.com/
Mexico,We propelled excellence in our clients by providing personalized and unique technological-business solutions to complex business problems.,Founded 2018,$25 - $49 / hr,2 - 9,55451749,"$10,000+",Ciudad de Mexico,ATLATL Group,https://atlatlgroup.com/
India,"Scalent is a Golang specialized development company, We are based out of Pune with a client base from all over the world. Established in 2016 we are a young company with a team of young and motivated professionals. We undertake the following services:",Founded 2016,Undisclosed,10 - 49,+91-72760-07073,Undisclosed,"A1, Thorve Vishwa, Baner-Balewadi Road, Balewadi, Baner, Maharashtra",Scalent Infotech Pvt. Ltd.,https://www.scalent.io
Poland,Use our dev team to build your custom solution!,Founded 2019,$50 - $99 / hr,2 - 9,604 161 781,"$10,000+",Pachonskiego,Thadeus.AI -  Bespoke AI Solutions,http://thadeus.ai
United States,"RS21 is a rapidly growing data science company that uses artificial intelligence, design, data engineering, and modern software development methods to empower organizations to make data-driven decisions that positively impact the world. Our innovative solutions are insightful, intuitive, inspiring, and intellectually honest. With offices in Albuquerque, NM and Washington, DC, RS21 is an Inc. 5000 fastest-growing company three years in a row and a Fast Company Best Workplace for Innovators.",Founded 2015,Undisclosed,50 - 249,505.314.2141,Undisclosed,"301 Gold Ave SW, Suite 201,",RS21,http://www.rs21.io
Germany,"Unrealists was established with a clear purpose: to empower startups by providing expert consulting services backed by our extensive industry experience. We understand that many startups face challenges in innovating and hiring skilled professionals, which is why we’ve built an agency where emerging companies can access our team’s actionable insights from various stages of corporate growth. This enables startups to overcome obstacles without the need to heavily invest in full-time industry experts.",Founded 2018,$150 - $199 / hr,2 - 9,+49 30 36447818,"$1,000+",Danziger Straße 162,unrealists,https://unrealists.com
India,"Deep Info Lab provides innovative and customized IT services using cutting edge Artificial Intelligence and Deep Learning. The brand strives to provide a unique experience with each service, appealing to individuals and enterprises alike.",Founded 2020,$50 - $99 / hr,2 - 9,8698574158,"$1,000+",Magarpatta City,Deep Info Lab,https://www.deepinfolab.com
Spain,"is a software company specialized in the design, construction and operation of Data Products using Big Data and AI technologies based on public cloud platforms, such as Amazon Web Services.",Founded 2018,$50 - $99 / hr,50 - 249,+34 682 621 612,"$50,000+",Calle Libertad 20,Keepler,https://keepler.io/
Poland,Craftinity is a,Founded 2015,$50 - $99 / hr,10 - 49,+48 601 187 742,"$1,000+",Marszałka Piłsudskiego 17/1a,Craftinity,http://craftinity.com/
Vietnam,"We help companies leverage the power of data and build state-of-the-art AI-powered, machine learning solutions.",Founded 2019,$50 - $99 / hr,2 - 9,0819590852,"$10,000+","2nd Floor, Trung Yen 1 building, Trung Hoa, Cau Giay",Aigenexpert,https://aigenexpert.com
Ukraine,test,Founded 1999,$50 - $99 / hr,10 - 49,0504646453,"$100,000+",gfhhgfgh,test,https://fhgff.com
United Kingdom,"Checkmate Global Technologies is a leading technology services company based in Bangalore, India, with offices in the United States and the United Kingdom.We are well-known for delivering world-class products and services to clients in a more effective and efficient manner. We have extensive experience in offshore management, software product development, platform management, Cloud/DevOps, infrastructure operation management, and digital transformation, including our research and development capabilities within the all-sector arena. That expertise makes us a perfect offshore business partner for anyone looking to integrate services with an exceptionally high standard of technology provision.",Founded 2021,< $25 / hr,10 - 49,+44- 0161-818-8873,"$10,000+",71-75 Shelton Street,Checkmate Global Technologies,https://www.checkmateq.com
,"We are an IT consulting organization offering solutions and services across multiple domains. Our ramp up process is designed to empower your team and outfit them with the tools they need to succeed. We specialize in CTO Services, Digital Transformation and Team Building",Founded 2019,$50 - $99 / hr,2 - 9,,"$5,000+",,i2ent,http://www.i2ent.com
United States,"Harmonizing People, Process, and Technology",Founded 1996,$25 - $49 / hr,250 - 999,781.933.1846,"$10,000+","400 TradeCenter, Suite 4900",Techlogix,http://techlogix.com
Germany,We have developed a,Founded 2018,Undisclosed,2 - 9,03028043259,"$10,000+",Borsigstrasse,Tale About Data,http://www.taleaboutdata.com
United States,"7LensCreative is a full-service advertising agency from concept through creation and deployment. We love working on the creative process, design, brand strategy, research and analytics, production (digital, print and experiential) and social media management. Our in-house production studio, provides the full range of production services such as videography, film, editing, music production, sound mixing and more. Our development team creates websites, codes, develops apps and builds digital experiences.",Founded 2020,$150 - $199 / hr,10 - 49,623-229-4695,"$5,000+",25592 Upper Clubhouse Drive,7LensCreative,http://www.7lenscreative.com
Spain,Somos una,Founded 2020,Undisclosed,2 - 9,+34 632912955,Undisclosed,Av. Amado Granell Mesado,Deep Wolf AI - Artificial Intelligence,https://www.deepwolfai.com
United States,"Kliento Technologies Pvt. Ltd. is the IT solution provider, we are the blend of experience and expertise with deep in-build knowledge. The companies are moving towards digital age that mark their competitive advancement in the new era. We ignite their existence with the technological solutions around Digital Transformation, Cloud Services, IoT, ChatBots, Mobility solutions, and business solutions around Salesforce, Design Engineering, Business Analytics, and Application Support & Maintenance.",Founded 2017,< $25 / hr,10 - 49,+1(201)515-7027,"$1,000+","40 Eisenhower Drive, Suite# 201, Paramus, NJ 07652",Kliento Technologies Pvt. Ltd,http://www.Klientotech.com
United States,"The X Future is an IT service company based out of USA with a team of 60 engineers, 15 data analysts and 10 business analysts. We have implemented over 300 custom projects across North America, Europe and Asia and have served over 60 enterprise clients through our automation products.",Founded 2019,Undisclosed,50 - 249,+14372994567,Undisclosed,"The X Future Inc,  5201, Great America Parkway  Suite #320, Santa Clara",The X Future Inc,https://thexfuture.com/
United States,We are a,Founded 2021,$25 - $49 / hr,2 - 9,4046433592,"$1,000+","13010 Morris Road, Corporate Centre one, Suite 649",Analytics to Grow LLC,https://www.analyticstogrow.com
United States,"Uvation provides critical technology services to groundbreaking private and public organizations. All our services are backed by our deep technology expertise, our robust partnerships with industry leaders, and a network of more than 220+ datacenters in more than 20 countries.",Founded 2010,$25 - $49 / hr,50 - 249,+1 855 563 3064,"$10,000+",1920 McKinney Ave,Uvation LLC,https://uvation.com/
India,"Datagrid Solutions is a global IT outsourcing and software solution provider having a head office in Mumbai and 2 development centers in India. With an experience of 15+ years of the IT business, Datagrid is working with 9+ countries and has delivered over 600+ successful projects. From startups to multinationals, Datagrid works with all the companies to simplify their business with the help of technology and innovation and provide skilled tech resources to achieve their goals.",Founded 2015,$25 - $49 / hr,50 - 249,+91-8657992211,"$5,000+","Crystal Plaza, 604/605, Guru Hargovindji Rd, next to Atul Projects, Chakala, Andheri East, Mumbai, Maharashtra 400099",Datagrid Solutions,https://datagrid.co.in/
,,,,,,,,Adat Science LLC,https://www.adatscience.com/
India,"With advanced-tech offerings and offices in India and the US, the team at Tooliqa understands the significance of not just digital transformation but AI transformation for companies looking to stay competitive in the dynamic digital age.",Founded 2021,Undisclosed,50 - 249,8415929332,"$10,000+","1142, JMD MEGAPOLIS, Sector 48,",Tooliqa,https://www.tooli.qa
United States,Magic FinServ is a leading digital technology services company for the Financial services industry. We bring a rare combination of Capital Markets domain knowledge & new-age technology skills in Blockchain & Artificial Intelligence. We offer end to end services to be your one-stop provider.,Founded 2016,Undisclosed,50 - 249,9711552805,"$5,000+","One Penn Plaza, 240 W 34th St 36th Floor, New York, NY 10119",Magic FinServ,https://www.magicfinserv.com/
Singapore,Build SAAS product and custom software develop for  Suply chain with AI & Inventory automation. SAS365- Supplier Administrative System as a holistic approach for suppliers and retailers to have hassle-free and convenient management of the business and to yield satisfactory results to the customers including Auto Refresh Inventory and Accounting features.,Founded 2016,< $25 / hr,2 - 9,+659425 0175,"$1,000+",252 Jurong East St 24,S3 Group Asia Pte Ltd,https://www.s3groupasia.com
United States,We are the,Founded 2010,< $25 / hr,50 - 249,4142079221,"$1,000+",13575 W Foxwood Ct,SignaTech Services Private Limited,https://signatech.com/
United States,"Divensi is a privately held, US-based, global IT services company. Since 2010, we offer staff augmentation, team services (T&M and SOW) and direct hire models and can help you quickly ramp up your team to meet your organizational and business objectives.",Founded 2010,< $25 / hr,50 - 249,+1.855.348.3674,"$5,000+",2121 152nd Ave NE,Divensi Inc,http://www.divensi.com
Canada,,Founded 2015,$25 - $49 / hr,2 - 9,9059225051,"$1,000+",105 Consumers Dr,Optability Inc,http://www.optability.com
Türkiye,"The adventure, which began in 2014 with mobile and online banking and ATM solutions for banking, continues today with a team of 57 people, constantly with digital banking and insurance, mobile security & soft OTP, blockchain, business intelligence and artificial intelligence solutions, and closely following the technology. We currently offer products and services to more than 70 corporate customers in a variety of subjects.",Founded 2014,Undisclosed,50 - 249,+902169870505,"$1,000+","Esentepe, Monumento Plaza, Milangaz Cd. No: 75 D: 3, 34870 Kartal",Enqura Information Technologies,http://www.enqura.com
Canada,"SensoAI Systems was founded by Andrew Ahachinsky in 2017 in Vancouver, Canada with a mission to help optimize and personalize healthcare data.SensoAI began working with medical device companies.",Founded 2017,Undisclosed,2 - 9,6047631463,Undisclosed,"422 Richards St, Suite 170",SensoAI Systems,http://sensoai.com
India,"Palnar Transmedia Pvt Ltd is a Software Consultancy and Development company located in India having subsidies in the US. We have our own office in Muenster which functions as a direct point of contact in Germany. We have a strong team of developers in PHP, Microsoft technologies, Mobile applications, SAP/ERP, Java and open source. We also develop sophisticated software products for our German, Holland and American customers and territories in different programming languages like AI, BI, IOT, C + +, Java, VB, iOS, Android, Delphi, CAD, SAP R / 3 - ABAP / 4, PHP etc. Linux is also one of our strengths and we have several projects in open source platform already executed. We are also glad to inform you that Palnar Transmedia has a strong technological backup from our principal company in the US, Palnar Inc, USA. Palnar Inc. has been providing software development services in the US Market for more than a decade. Over the last eleven years we have proven our competencies in highly complex software projects for our clients in Germany, Switzerland, The Netherlands, USA and Kuwait. Together with our German client UTSCH AG, we have even created high-end software solutions for the automatic embossing machines to issue high-security vehicle license plates in several countries in the Middle East. With companies like UTSCH AG and Roche Diagnostics in Basel, Switzerland we have been working for more than five years. Such partnerships are examples for the reliability, quality and delivery consciousness assured by Palnar to its clients, be it a small JAVA development or a high-end embedded system. Our familiarity with foreign cultures including German language and respect for their business values and requirements help us to ensure a foolproof execution of the project related tasks starting from the basic conceptualization stage to the implementation level.",Founded 1998,$25 - $49 / hr,50 - 249,+91 471 2527102,"$1,000+","II Floor, Gayatri Building, Technopark",Palnar Transmedia Pvt Ltd,http://www.palnarindia.com
India,"Trivialworks Solutions is a fast growing offshore IT Consulting Company which delivers cutting-edge technology solutions to enterprises worldwide. We offer the most scalable, secure and cost effective services to our clients across various verticals such as healthcare, education, entertainment and banking to name a few.",Founded 2011,Undisclosed,50 - 249,+91.912.923.2444,Undisclosed,"1st Floor, Software Technology Park,",Trivialworks Solutions Pvt Ltd,https://trivialworks.com/
India,Cordnex.ai was founded in 2012. Our mission is to use artificial intelligence to make Customer and User Data Modeling Data Platforms Data Monetization application more accessible and affordable.We deploy AI applications to significantly increase productivity and operational performance. we provide software Research & Development services R&D helping large technology businesses design and develop test innovative software.,Founded 2012,$25 - $49 / hr,2 - 9,7276569466,Undisclosed,Hadapsar,Cordnex.AI,https://www.cordnex.ai/
Bulgaria,"Intway is a IT service and consulting company specializing in designing and building end-to-end software solutions. We help our partners define their concepts, build a technology strategy, implement and operate thier proucts in a fast and sustainable way.",Founded 2021,Undisclosed,10 - 49,+359 87 781 8571,"$1,000+",38 Pimen Zografski Str,Intway,https://intway.com/
United States,"eLink is an Enterprise consulting company, one of the oldest Salesforce.com business partners delivering value on the platform since 2003 to our numerous clients. We have delivered various solutions to the Fortune 1000s, Salesforce Platinum Partners and direct to clients with products on the AppExchange.",Founded 1999,$100 - $149 / hr,50 - 249,+1.888.299.0017,Undisclosed,9838 Old Baymeadows Rd,eLink Business Innovations,http://www.elink.bz
United Kingdom,"We help organisations including Canon, Emirates, HSBC, John Lewis, UPS and Viacom to use data to accelerate growth, increase sales & marketing efficiency and improve customer experience.",Founded 2005,$200 - $300 / hr,10 - 49,+44345 838 1136,"$5,000+",4 Queen Street,Lynchpin Analytics,https://www.lynchpin.com/
Canada,"Acies Decisions is Data, Analytics & Artifical Intelligence services and solutions provider. At Acies Decisions we design solutions for small and medium businesses to address their most pressing issues. We work with clients on short-duration projects that typically take 12 to 15 weeks.  As a result, clients can expect to see their data turned into valuable insights at a lower cost to them.",Founded 2019,$100 - $149 / hr,2 - 9,7034096543,"$50,000+",57 - 2888 156 St,Acies Decisions,http://www.aciesdecisions.com
United States,"A rapidly growing software consulting company offering a broad range of software expertise and services with a strong customer focus. Our philosophy is 100% commitment in helping customers achieve success and desired/ optimal results at reduced risk and lowest possible cost. Our role is a partnership and strategic alliance, listening to our customers and supporting their initiatives with the right people, the right technology and at the right cost.",Founded 2015,Undisclosed,2 - 9,+1.860.494.9636,Undisclosed,135 Pepin Pl,TechFirst LLC,https://www.tecfirstllc.com/
Lithuania,"We help you bring your digital strategy to life by combining high-end software engineering, product thinking, and user-centric design. Accompanied by extensive knowledge in data analytics, data science and artificial intelligence, our international team of experts will turn your enterprise IT into a differentiating capability and help you create digital products & services that will excite your customers.",Founded 2021,$100 - $149 / hr,10 - 49,+370 61291920,"$10,000+",4 Palangos gatvė,digetiers.Spice,https://www.digetiers-spice.com/
Portugal,GBSN Research provides tailored,Founded 2013,< $25 / hr,10 - 49,+351 213 303 720,"$1,000+","Avenida da República, 6, 1º andar",GBSN Research,https://www.gbsnresearch.com/
United States,"A best of breed consulting organization, with focuses in strategic advisory & roadmap, architecture, implementation and post go live support capabilities around Big Data, Advanced Analytics, AI/ML and Data Discovery & Visualization domains. Our expertise also lies in Cloud Consulting, Implementation, Migration, Development and Deployment. IT consulting and advisory services to help you achieve tech-enabled transformational breakthroughs with positive business outcomes.",Founded 2016,Undisclosed,2 - 9,+1.714.388.6646,Undisclosed,46560 Fremont Blvd,"E-connect Software, Inc",https://e-connectt.com/
India,Aximind is an AI startup recognized by Startup India initiatives as a Deep Tech Innovation company.,Founded 2019,< $25 / hr,10 - 49,+918043742246,"$25,000+","Brookfield, ITPL",Aximind Strategic Solutions,https://aximind.com/
India,"Since Sculptsoft's beginnings, our focus has been on creating and promoting cutting-edge IT solutions for multi-user operations, all while maintaining the highest standards of quality and customer satisfaction.",Founded 2012,$25 - $49 / hr,50 - 249,+91 9898411895,"$10,000+","Block A-203, Navratna Corporate Park, Ashok Vatika, Ambali-Bopal Road, Ahmedabad-380058",SculptSoft Pvt. Ltd.,https://www.sculptsoft.com/
United States,"Deep Analytics LLC is a machine learning and sensor development startup in Montpelier, Vermont. Our mission is to develop disruptive machine learning and sensor technologies. DA provides consulting services to commercial and Government customers, so please contact or visit us at",Founded 2016,Undisclosed,2 - 9,+1 802.345.2053,Undisclosed,"56 College Street, Suite 201",Deep Analytics LLC,https://www.deepanalyticsllc.com/
China,"At Ekohe, we believe in the positive, transformational power of technology. For 13 years, we've harnessed best-in-class strategy, design, and technical know-how to create",Founded 2007,$150 - $199 / hr,10 - 49,+86.216.288.2886,"$10,000+",Jing'an China Tower Fortune Gate - West Beijing Road No. 1701 Suite 3010,Ekohe,https://ekohe.com/contact
United Kingdom,"Colibri Digital is a technology consultancy company founded in 2014 by experienced technologists passionate about leveraging the power of the cloud to unlock the value in the vast quantities of data businesses collect each day. We work to help clients navigate the rapidly changing and complex world of emerging technologies, with deep expertise in areas such as big data, and machine learning.",Founded 2015,Undisclosed,2 - 9,+442030260423,"$10,000+",7 Frythe Avenue,Colibri Digital,https://www.colibridigital.io/
India,"Finarb is a leading provider of Advanced Data Analytics, AI ML solutions. 80% of our clients are in the Forbes 1000 list, with 78% repeat business. We have been recognized for our high CSAT score of 4.9/5. We partner with our clients on their business transformation journey enabled by AI starting from problem discovery – strategy & consulting – rapid prototyping & MVP – build – deploy – manage – operate. Our vision is to democratize AI and enable large, mid-sized and SMB organizations take advantage of the power of AI for sustained growth, competitive advantage and be resilient enterprises of future!",Founded 2018,$25 - $49 / hr,50 - 249,+919008741122,"$25,000+","14ES4, Mani Casadona, International Financial Hub, New Town, Kolkata 700156, India",Finarb Analytics Consulting,https://finarbconsulting.com/
United States,"provides technology solutions to problems unique to your business and the industry. Our team consists of experts with over 20 years' experience in financial services industry and have developed solutions that helped scale for the some of the most innovative companies, which helped those companies rise to the incredible size state that they are now.",Founded 2018,$150 - $199 / hr,10 - 49,8178181005,"$50,000+","7157 Colleyville Blvd, Suite 104",Invati,https://invati.ai
Poland,We build Digital Brain platforms for our customers with the unique set of skills,Founded 2015,$25 - $49 / hr,50 - 249,+48 666 366 633,"$10,000+",Polna 50,AICONIC,https://aiconiclab.com
India,Hashwide Pvt Ltd is digital solutions provider across the globe mainly developing custom business solutions in web & mobile platforms. With an extensive experience in latest technologies and product development help us to solve real business problems and transform the way your business performs.,Founded 0,< $25 / hr,10 - 49,020 3371 0099,"$25,000+","Unit 20/688G,  Athanikal Building, Hill Palace Road, Tripunithura",Hashwide,https://www.hashwide.com/
Czech Republic,KENDAXA specializes in AI-based data aggregation and data profiling as well as digitization and automation of corporate processes.,Founded 2013,$25 - $49 / hr,50 - 249,+420 608 668 711,"$10,000+",28 října 377/13,Kendaxa,http://www.kendaxa.com
Mexico,"Wolvenhall combines world class expertise in big data, machine learning and A.I. with the cutting edge of Augmented, Virtual and Mixed reality. We make real world, tangible products, altering the bottom line of your business. There’s a tidal wave of technological advancement coming. Wolvenhall is here to help you ride it.",Founded 2007,Undisclosed,50 - 249,+52 1 55 1953 7393,Undisclosed,Humboldt 34 401 Centro,Wolven Hall,https://www.wolvenhall.com/
United States,,Founded 1997,$150 - $199 / hr,10 - 49,978.341.0999,"$50,000+",1620 Sudbury Road,Atlantis Technology,https://www.atlantistech.com/
United States,"Augusta is expertise in blockchain technology on building innovative products using blockchain, AI, Blockchain Testing as a Service and smart contracts. Augusta has been successful in providing Blockchain Hyperledger powered solutions in auditing, supply chain, healthcare, gaming, human identity, financial, medical marijuana and other industries.",Founded 2009,Undisclosed,50 - 249,866.962.1010,Undisclosed,"2650 North Military Trail, Suite 440",Augusta Hitech,https://www.augustahitech.com/
Netherlands,AI Lab One helps organizations stay ahead of the curve by innovating with artificial intelligence,Founded 2019,$50 - $99 / hr,2 - 9,-,"$10,000+",Wilhelmina van Pruisenweg 35,AI Lab One,https://ailab.one/
Ethiopia,"Zentyad, its name was EtyeBoge ICT Solution Center. It was Establish to provide well-tested system solutions, Networking, Implementation of Data centres for Gov and Non-Governmental. We are successful with these services.",Founded 2014,< $25 / hr,2 - 9,+251-911-180703,"$1,000+",Mexico K.Ker Bldng 8th Floor,Zentyad Trading PLC,https://www.etyeboge.com
United States,"Quantori is a Full-Service Scientific Informatics, Data Sciences, and Digital Solutions Provider for the Life Science and Healthcare Industries.",Founded 2018,Undisclosed,250 - 999,+1 (617) 225-4353,Undisclosed,1 Broadway,Quantori,https://quantori.com
,Our Vision at Techolution is to empower enterprises to make the leap to this new Digital world as quickly and responsibly as possible.,Founded 2012,$100 - $149 / hr,50 - 249,,"$10,000+",,Techolution,http://www.techolution.com
United States,"Senzing is the first to deliver real-time, artificial intelligence for entity resolution. Senzing software enables organizations of all sizes to gain highly accurate and valuable insights about who is who and who is related to whom in data. The Senzing application programming interfaces (APIs) and microservices make it easy for software and data engineers to quickly and affordably build scalable entity resolution into applications and data services. With Senzing, innovators in financial services, information services, healthcare, the public sector and other industries can more effectively engage with customers, improve fraud detection, optimize investigative analysis, and increase accuracy for compliance mandates.",Founded 2016,Undisclosed,10 - 49,,Undisclosed,POB 19576,"Senzing, Inc.",https://senzing.com/
United States,"Predikly is “A Data Innovation and RPA Company” that helps, Advise, Implement, and Optimize Artificial Intelligence , RPA ( Robotic Process Automation ) and Analytics Solutions. We combine industry expertise, leading cloud platforms, and data science to deliver big outcomes. Our main focus is to help our clients maximize the power of their data to solve their most important challenges.",Founded 2017,$50 - $99 / hr,50 - 249,,"$25,000+",19925 Stevens Creek Blvd #100,Predikly LLC,http://www.predikly.com
Poland,"Do you want to reduce the costs of programming and implementation? Are you interested in cooperation with well-educated, innovative and creative young people?",Founded 2011,$25 - $49 / hr,10 - 49,+48 533321321,"$5,000+",Dąbrowskiego 77A,THTG,http://thtg.eu/
India,"We offer 360° IT services including Outsourcing, OffShore development and Business Consulting. In the last 12 years, Gray Matrix has delivered every software development project early or on-time",Founded 2003,$25 - $49 / hr,50 - 249,+91.22.6172.8102,Undisclosed,"D 702, Lotus Corporate Park, Off WEH, Goregaon (E)",Gray Matrix,http://www.graymatrix.com
China,"Beijing Shenzhou Taiyue Software Co., Ltd. was established in 2001. In 2009, it became the first batch of companies listed on the GEM of the Shenzhen Stock Exchange (the company is referred to as ""Shenzhou Taiyue"", and the stock code is ""300002""). As a ""value-led, innovation-driven"" private high-tech enterprise, Shenzhou Taiyue is committed to promoting industry development and social progress with information technology. After years of exploration and development, the company has closely focused on the two core capabilities of communication and data, and has formed five business segments: ICT operation management, Internet of Things and communication, artificial intelligence and big data, games and innovative services. Achieve technological breakthroughs and maintain market leadership in cutting-edge technology fields such as network communications, artificial intelligence, and NLP.",Founded 2001,Undisclosed,10 - 49,010-58847555,Undisclosed,"Floor 22, Beichen Taiyue Building, Building 1, No. 13 Beijia, Beiyuan Road","Beijing Ultrapower Software Co., Ltd.",https://www.ultrapower.com.cn/
France,Opscidia is a collaborative platform that brings all the scientific and technological information. It is a scientific hub based on the latest AI technologies with multiple monitoring features to view the best scientific information in a few clicks.,Founded 2019,Undisclosed,10 - 49,+,Undisclosed,9 Rue des Colonnes,Opscidia,https://www.opscidia.com/
China,"Yunnan Nantian Electronic Information Industry Co., Ltd. (abbreviation: Nantian Information, stock code 000948) is a listed company controlled by Yunnan Industrial Investment Holding Group Co., Ltd. It was listed on the Shenzhen Stock Exchange in 1999. It is a professional digital service provider and digital service provider 's founder.",Founded 0,Undisclosed,10 - 49,0871-63332302,Undisclosed,"No. 455, Huancheng East Road","Yunnan Nantian Electronics Information Co., Ltd.",https://www.nantian.com.cn/
United States,"Bursys delivers software technology solutions that help organizations to drive real value from their investments in technology. Our services and SaaS software products enable digital transformation of operations for our customers. We also develop software products in the cloud or on-premise that enable businesses to use technology for their core business. We drive innovation for our customers with sensible technology solutions and not just developing or implementing the latest and greatest. If off-the-shelf software does not solve your business problem, we do not hesitate to either customize an off-the-shelf software or build a new software technology that works for your unique business. We believe in delivering results!",Founded 2005,$50 - $99 / hr,50 - 249,2818154314,"$5,000+",1011 S Texas 6 #117,Bursys,https://www.bursys.com/
United Kingdom,"We help customers to collect, clean, classify, process and visualize any type of data at scale, allowing real-time exploration of massive data sets to deliver insights for action at industry-leading speed.",Founded 2005,$150 - $199 / hr,10 - 49,+44(0)2036 379155,"$10,000+",125 Kingsway,Datalytyx,http://www.datalytyx.com
